"","AEW541","Panobinostat","Nilotinib","Sorafenib","ZD-6474","Lapatinib","PD-0332991","Nutlin-3","Erlotinib","X17-AAG","PLX4720","LBW242","Topotecan","Paclitaxel","RAF265","AZD6244","PF2341066","TKI258","PHA-665752","Irinotecan","PD-0325901","TAE684","AZD0530"
"ACH-000811",1.72170377618202,-1.95621694708536,2.07944154167984,2.07944154167984,2.07944154167984,-0.0164217264876583,2.07944154167984,2.07944154167984,2.07944154167984,-2.14467540424457,2.07944154167984,-0.788505522924068,-0.493758730277435,-4.28689283405981,-1.42491386623495,2.07944154167984,2.07944154167984,0.558431918295363,2.07944154167984,-1.20070848468601,2.07944154167984,2.07944154167984,0.934319710714845
"ACH-000974",2.07944154167984,-1.99171802432236,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.27728707103436,2.07944154167984,2.07944154167984,0.171760205714276,-4.01102582965973,-0.400082538660786,2.07944154167984,2.07944154167984,1.92970246978037,2.07944154167984,0.417395332463507,2.07944154167984,1.95733834870836,2.00916901705379
"ACH-000932",1.80464212729747,-2.58207178616098,2.07944154167984,1.34658409761639,2.07944154167984,2.07944154167984,1.7465131068191,1.31192790067633,2.07944154167984,-3.06466248271855,2.07944154167984,2.07944154167984,-1.87863987879429,-5.12898041269166,0.48154619182493,0.737581227278202,1.4765295382647,1.63520150916982,2.07944154167984,-1.19606401732671,-2.58594292844971,0.933090746818641,2.07944154167984
"ACH-000581",1.7937966662324,-3.3243996871997,-3.00589081728196,2.07944154167984,-3.22202806295436,1.90177472415873,2.07944154167984,2.07944154167984,2.07944154167984,-4.21301803670149,2.07944154167984,2.07944154167984,-1.49605438488096,-5.97456259328863,-0.307205174018918,2.07944154167984,1.90535403823247,-0.940725519579219,2.07944154167984,-1.19606401732671,2.07944154167984,-0.193604712864174,2.07944154167984
"ACH-000483",2.07944154167984,-2.33697429113615,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.182252353566133,2.07944154167984,2.07944154167984,1.65950382363498,-3.03396961117952,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,1.97950538353019
"ACH-000478",2.07944154167984,-1.92017815973096,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,1.85147904009532,2.07944154167984,2.07944154167984,-1.0775530453623,2.07944154167984,2.07944154167984,2.07944154167984,-4.1441050109654,0.870303281972153,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000221",2.07944154167984,-2.91740433371636,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,1.85147904009532,2.07944154167984,2.07944154167984,-0.602719990441483,2.07944154167984,2.07944154167984,-0.615055465913129,-5.99146454710798,1.3833602540847,2.07944154167984,1.57303233243256,0.449519571766236,2.07944154167984,-1.19606401732671,0.203989258299932,-3.06145855046092,2.07944154167984
"ACH-000493",2.07944154167984,-1.50752964342834,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.15619873466052,2.07944154167984,2.07944154167984,2.07944154167984,-4.52026926778409,2.00946087838001,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000420",1.85446042041138,-1.59082123319444,2.07944154167984,2.07944154167984,1.06106982864657,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.674444188413361,2.07944154167984,2.07944154167984,0.761376582945184,0.993001684703773,1.98328439080926,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.131712005793592,2.07944154167984,2.07944154167984,2.04307249345242
"ACH-000422",1.18022994284666,-1.92532430698329,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,1.85147904009532,2.07944154167984,2.07944154167984,-5.97456259328863,2.07944154167984,2.07944154167984,2.07944154167984,-4.94044503975836,0.196631054999565,2.07944154167984,2.07944154167984,1.64011106908605,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000967",2.07944154167984,-2.11811482134218,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.36070165422377,2.07944154167984,2.07944154167984,0.220042357981217,-3.03764108761537,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,1.33111481872756,2.07944154167984
"ACH-000553",2.07944154167984,-3.0309126494735,1.77286510277317,2.07944154167984,1.53574927837664,2.07944154167984,1.85147904009532,2.07944154167984,1.79175358821076,-2.09305975403367,2.07944154167984,-1.22544098548721,-1.15334285423591,-3.7740547577184,0.870303281972153,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,1.02950137592885,1.99047373995698,1.15308699721995
"ACH-000271",-1.71493688767701,-4.01297674520157,2.07944154167984,2.07944154167984,1.88444662752339,-0.113904859263342,-1.36225755376668,2.07944154167984,2.07944154167984,-1.49090813787884,2.07944154167984,2.07944154167984,-2.234649408132,-5.77259346982651,1.63108455358922,2.07944154167984,-1.71696943858626,-1.5770470078781,2.07944154167984,-1.28559775419584,2.07944154167984,-2.29498275414168,2.07944154167984
